Name,ID,DOB,Vote
Ben,453,05/23/2005,Pedro_Sanchez
Ben,212,08/23/2014,Summer_Wheatly
Ben,212,06/17/1999,Pedro_Sanchez
Ben,111,09/23/2001,Summer_Wheatly
Ben,213,09/10/2006,Summer_Wheatly
Ben,123,05/10/2005,None
Ben,123,05/06/2003,Pedro_Sanchez
Ben Kane,342,05/10/2005,Summer_Wheatly
Ben,212,05/10/2005,None
Ben,212,05/20/1999,None
Ben,111,05/10/2005,None
Ben,432,05/20/2005,None
Ben,111,05/10/2005,None
Ben,111,05/10/2005,None
Ben,543,05/10/2005,None
en,231,07/31/2020,Summer_Wheatly
Ben Kane,111,05/10/2005,Pedro_Sanchez
